SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale;Elevation_flag
156;145720;Benevento METEO;14.82502778;41.11505556;239;Campania;OD:145720;36453;Benevento METEO-1;36448;Benevento METEO-1;1
157;145730;Rocca d'Evandro METEO;13.88016667;41.42461111;62;Campania;OD:145730;38784;Rocca d'Evandro METEO-1;38786;Rocca d'Evandro METEO-1;1
158;145740;Cellole METEO;13.83833333;41.19636111;8;Campania;OD:145740;36309;Cellole METEO-1;36303;Cellole METEO-1;1
159;145750;Conza della Campania METEO;15.28191667;40.86197222;741;Campania;OD:145750;36339;Conza della Campania METEO-1;36333;Conza della Campania METEO-1;1
160;145760;Montella METEO;15.03936111;40.83847222;510;Campania;OD:145760;37448;Montella METEO-1;37443;Montella METEO-1;1
161;145770;Montesano Marcellana METEO;15.66013889;40.25558333;526;Campania;OD:145770;36938;Montesano Marcellana METEO-1;36932;Montesano Marcellana METEO-1;1
162;145780;Nisida METEO;14.16383333;40.79372222;15;Campania;OD:145780;36128;Nisida METEO-1;36127;Nisida METEO-1;1
163;145790;Postiglione METEO;15.23691667;40.56188889;668;Campania;OD:145790;36545;Postiglione METEO-1;36546;Postiglione METEO-1;1
164;145800;Salerno METEO;14.83652778;40.64380556;24;Campania;OD:145800;36403;Salerno METEO-1;36398;Salerno METEO-1;1
165;145810;Lago Patria METEO;14.02133333;40.94122222;1;Campania;OD:145810;40341;Lago Patria METEO-1;40336;Lago Patria METEO-1;1
166;145820;S.Bartolomeo METEO;15.04075;41.42213889;735;Campania;OD:145820;36246;S.Bartolomeo in Galdo METEO-1;36240;S.Bartolomeo in Galdo METEO-1;1
167;145830;S.Salvatore Telesino METEO;14.47283333;41.24691667;156;Campania;OD:145830;38595;S.Salvatore Telesino METEO-1;38590;S.Salvatore Telesino METEO-1;1
168;145840;Torre Orsaia METEO;15.45866667;40.13202778;294;Campania;OD:145840;36275;Torre Orsaia METEO-1;36269;Torre Orsaia METEO-1;1
169;146050;Ischia - Forio;13.87927778;40.732;383;Campania;OD:146050;33430;Ischia - Forio;NA;NA;1
